Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;IGUATEMI DISTRIBUIDORA LTDA; 03.072.068/0002-55;AVENIDA DOM SEVERINO;1498;;FATIMA;64049-375;DIESEL S10;30/03/2026;7,59;;R$ / litro;BRANCA
NE;PI;TERESINA;IGUATEMI DISTRIBUIDORA LTDA; 03.072.068/0002-55;AVENIDA DOM SEVERINO;1498;;FATIMA;64049-375;ETANOL;30/03/2026;4,79;;R$ / litro;BRANCA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0022-78;AVENIDA DEPUTADO PAULO FERRAZ;1910;;TANCREDO NEVES;64076-005;GASOLINA;31/03/2026;6,69;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0022-78;AVENIDA DEPUTADO PAULO FERRAZ;1910;;TANCREDO NEVES;64076-005;GASOLINA ADITIVADA;31/03/2026;6,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0022-78;AVENIDA DEPUTADO PAULO FERRAZ;1910;;TANCREDO NEVES;64076-005;DIESEL;31/03/2026;7,59;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0022-78;AVENIDA DEPUTADO PAULO FERRAZ;1910;;TANCREDO NEVES;64076-005;ETANOL;31/03/2026;4,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO MARTINEZ LTDA - ME; 02.992.818/0001-63;AVENIDA ANTONIO OLIVEIRA;61;;GURUPI;64091-400;GASOLINA;31/03/2026;6,89;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO MARTINEZ LTDA - ME; 02.992.818/0001-63;AVENIDA ANTONIO OLIVEIRA;61;;GURUPI;64091-400;GASOLINA ADITIVADA;31/03/2026;7,19;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO MARTINEZ LTDA - ME; 02.992.818/0001-63;AVENIDA ANTONIO OLIVEIRA;61;;GURUPI;64091-400;DIESEL S10;31/03/2026;7,69;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO MARTINEZ LTDA - ME; 02.992.818/0001-63;AVENIDA ANTONIO OLIVEIRA;61;;GURUPI;64091-400;ETANOL;31/03/2026;5,39;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO UCHOA LTDA; 24.966.843/0001-05;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;2161;B;PEDRA MOLE;64066-430;GASOLINA;30/03/2026;6,89;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO UCHOA LTDA; 24.966.843/0001-05;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;2161;B;PEDRA MOLE;64066-430;GASOLINA ADITIVADA;30/03/2026;7,19;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO UCHOA LTDA; 24.966.843/0001-05;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;2161;B;PEDRA MOLE;64066-430;DIESEL;30/03/2026;7,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO UCHOA LTDA; 24.966.843/0001-05;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;2161;B;PEDRA MOLE;64066-430;DIESEL S10;30/03/2026;7,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO UCHOA LTDA; 24.966.843/0001-05;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;2161;B;PEDRA MOLE;64066-430;ETANOL;30/03/2026;4,96;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO MAIS GURUPI LTDA; 33.058.551/0001-65;AVENIDA DEPUTADO PAULO FERRAZ;5766;;GURUPI;64091-500;GASOLINA;31/03/2026;6,69;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO MAIS GURUPI LTDA; 33.058.551/0001-65;AVENIDA DEPUTADO PAULO FERRAZ;5766;;GURUPI;64091-500;GASOLINA ADITIVADA;31/03/2026;7,19;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO MAIS GURUPI LTDA; 33.058.551/0001-65;AVENIDA DEPUTADO PAULO FERRAZ;5766;;GURUPI;64091-500;DIESEL;31/03/2026;7,65;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO MAIS GURUPI LTDA; 33.058.551/0001-65;AVENIDA DEPUTADO PAULO FERRAZ;5766;;GURUPI;64091-500;DIESEL S10;31/03/2026;7,69;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO MAIS GURUPI LTDA; 33.058.551/0001-65;AVENIDA DEPUTADO PAULO FERRAZ;5766;;GURUPI;64091-500;ETANOL;31/03/2026;4,99;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO DE COMBUSTIVEL AGUIA LTDA; 28.985.753/0001-12;AVENIDA HOMERO CASTELO BRANCO;2101;LETRA A;FATIMA;64049-505;GASOLINA;30/03/2026;6,99;;R$ / litro;IPIRANGA
